Importance of Business Processes,Data Quality,Technical Complexity,Team Experience,Urgency,Testing Tools and Methods,Change Management Plan,Compliance with Regulatory Requirements,Level of Integration with Other Systems,Predictability of Changes,History of Previous Implementations,Availability of Backup Plans,Reaction to Mistakes,Coordination between Teams,Performance Monitoring,Analysis of Consequences of Failures,Degree of Automation of Processes,Maturity of Development Processes,Version Control and Configuration Management,Criticality of Streams,Total Key Risks
4,5,4,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
1,7,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Low
2,8,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
5,9,5,5,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,High+
3,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Medium
4,7,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
5,8,5,5,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,High+
3,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Medium
4,9,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unacceptable
5,9,5,5,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
4,8,4,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
3,7,3,3,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,Medium
2,6,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
1,3,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
5,9,5,5,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,High+
4,8,4,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
3,7,3,3,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,Medium
2,6,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
1,3,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
5,9,5,5,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,High+
4,8,4,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
3,7,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Low
2,5,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
4,9,4,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
1,1,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
5,8,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High+
2,4,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
3,6,3,3,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
4,7,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High
1,2,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
5,9,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High+
2,5,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
4,8,4,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
1,3,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
4,7,3,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
5,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High
3,4,3,3,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
5,9,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High+
2,5,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
4,8,5,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
1,3,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
5,9,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High+
2,5,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
4,8,5,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
1,3,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
5,9,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High+
2,5,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
3,6,3,3,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
4,7,4,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
5,9,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High+
2,5,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
1,3,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
4,8,5,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
3,6,3,3,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
5,9,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High+
2,5,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
1,3,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
4,8,5,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
3,6,3,3,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
5,9,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High+
2,5,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,Low
6,1,5,6,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
4,7,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
7,4,6,7,1,1,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
1,9,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
8,2,4,8,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
3,6,3,3,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
9,3,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High+
5,8,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
2,5,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,Low
6,1,5,6,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
4,7,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
